	value	TF
HRH1	1.28916265806365	0
FAM169A	1.12302601644065	0
FBXL18	0.858561442501732	0
GHDC	0.751029619511697	0
DNAH10OS	2.31885011785991	0
SDK1	1.34233715585549	0
SDK2	1.76953409126454	0
KANSL1-AS1	0.937041165037166	0
GRP	3.48230616944518	0
TPRN	1.23525721259775	0
THSD4	1.40814213006318	0
FAM212B	1.60491929967593	0
FAM212A	1.21294635285663	0
CHST9	1.96132680037377	0
COL4A6	1.40582244537198	0
COL4A5	1.02581845176733	0
COL4A4	1.62657119013499	0
COL4A3	2.99625418147822	0
COL4A2	1.68174101038352	0
COL4A1	2.54066131095382	0
SLC35D2	0.675748583846123	0
GRN	1.17053314306255	0
CHST3	0.932208625608252	0
CHST2	2.28481060257504	0
CHST5	2.6217080612511	0
CHST4	2.42535905821333	0
CHST7	1.55843587864856	0
CHST6	1.40490059773414	0
ITGAX	3.08238582738468	0
OR8J1	NA	0
HLX	1.20526652169041	1
RAMP3	1.84951630757113	0
HLCS	0.502196150838196	0
NOG	2.8032127403834	0
PRR26	1.98155957381597	0
ITGAV	1.37651030685448	0
SIGMAR1	1.20115202898728	0
ZNF703	1.23450734326167	0
ITGAL	2.75634774768723	0
ITGAM	3.46797932818911	0
HLF	2.32889404048788	1
NOV	3.88106458351809	0
FAM134C	0.363609484340767	0
ITGAE	0.686047159932366	0
FAM134A	0.43670294394893	0
SERPING1	3.16359606195691	0
SMAD9	1.2501030886351	1
TRERF1	1.16840878457038	1
EEF2K	0.413924686557791	0
LRPAP1	0.492973897609148	0
SMAD6	1.65386973268286	1
SMAD7	1.06598529402198	1
GOLPH3L	0.521480247833709	0
SMAD1	0.622923477028822	1
SMAD2	0.316236477045576	1
CAMK4	2.45149264156978	0
MUS81	0.400882723578968	0
AMMECR1L	0.395314816669525	0
TMPRSS11A	6.57394089615667	0
TMPRSS11B	6.74495659851804	0
IGF2R	0.751603965786449	0
TMPRSS11D	6.46251644554947	0
TMPRSS11E	6.3486294102125	0
TMPRSS11F	5.05885361094001	0
PRR14L	0.571937804255466	0
PAFAH1B1	0.388167936292624	0
ABHD14B	0.920914812781113	0
HTR5A-AS1	4.59233108303951	0
RAD21L1	0.849878242317941	0
SLC36A4	0.702897633800063	0
SLC36A3	2.63369496306595	0
SLC36A2	5.38952273363194	0
SLC36A1	0.792386848765161	0
TUBB7P	2.42859723352239	0
ERICH6	1.13072935083798	0
ERICH5	3.19406493507048	0
ERICH4	3.64058770475943	0
ERICH3	3.79178241403057	0
ERICH2	2.37900964221067	0
ERICH1	0.610972421151037	0
ARTN	3.10524495589343	0
ART1	5.21559551939202	0
